Type,Unroll_Factor,Time_O0_ms,Time_O2_ms
double,1,515.193,149.0
double,2,274.528,118.851
double,3,183.959,107.292
double,4,167.699,119.321
double,6,132.827,102.347
double,8,133.367,126.635
double,10,135.898,107.195
double,12,141.517,98.477
double,16,131.294,126.485
double,32,114.335,156.088
float,1,480.456,54.982
float,2,90.224,31.237
float,3,62.605,29.225
float,4,79.613,62.615
float,6,102.725,72.491
float,8,113.808,73.227
float,10,108.613,73.799
float,12,126.293,70.514
float,16,112.871,71.005
float,32,104.058,86.959
int,1,346.132,53.196
int,2,196.278,60.025
int,3,146.9,64.601
int,4,124.354,65.058
int,6,118.813,81.672
int,8,135.099,56.939
int,10,103.561,69.559
int,12,109.776,52.719
int,16,106.247,63.224
int,32,94.086,90.371
short,1,310.561,36.797
short,2,181.285,37.639
short,3,145.989,45.871
short,4,116.988,45.252
short,6,118.089,44.115
short,8,107.446,35.323
short,10,98.118,40.636
short,12,101.446,36.18
short,16,93.885,44.201
short,32,97.755,51.257
